StartTime,EndTime
05/07/2023 07:00,05/07/2023 07:30
05/07/2023 07:30,05/07/2023 08:00
05/07/2023 08:00,05/07/2023 08:30
05/07/2023 08:30,05/07/2023 09:00
05/07/2023 09:00,05/07/2023 09:30
05/07/2023 09:30,05/07/2023 10:00
05/07/2023 10:00,05/07/2023 10:30
05/07/2023 10:30,05/07/2023 11:00
05/07/2023 11:00,05/07/2023 11:30
05/07/2023 11:30,05/07/2023 12:00
05/07/2023 12:00,05/07/2023 12:30
05/07/2023 12:30,05/07/2023 13:00
05/07/2023 13:00,05/07/2023 13:30
05/07/2023 13:30,05/07/2023 14:00
05/07/2023 14:00,05/07/2023 14:30
05/07/2023 14:30,05/07/2023 15:00
05/07/2023 15:00,05/07/2023 15:30
05/07/2023 15:30,05/07/2023 16:00
05/07/2023 16:00,05/07/2023 16:30
05/07/2023 16:30,05/07/2023 17:00
05/07/2023 17:00,05/07/2023 17:30
05/07/2023 17:30,05/07/2023 18:00
05/07/2023 18:00,05/07/2023 18:30
05/07/2023 18:30,05/07/2023 19:00
05/07/2023 19:00,05/07/2023 19:30
05/07/2023 19:30,05/07/2023 20:00
05/07/2023 20:00,05/07/2023 20:30
05/07/2023 20:30,05/07/2023 21:00
